order_id,date_commande,client_id,region,produit,categorie,prix_unitaire,quantite,total,moyen_paiement
10000,2025-07-30,1039,Centre,Souris sans fil,Accessoires,19.17,1,19.17,Virement
10001,2025-07-31,1124,Est,Ecran 27 pouces,Electronique,238.56,1,238.56,CB
10002,2025-08-01,1064,Ouest,Smartphone,Electronique,963.07,3,2889.21,CB
10003,2025-08-02,1119,Centre,Ordinateur portable,Electronique,552.25,2,1104.5,PayPal
10004,2025-08-02,1087,Nord,Clavier mecanique,Accessoires,95.8,2,191.6,PayPal
10005,2025-08-02,1093,Est,Licence antivirus,Logiciels,25.19,1,25.19,PayPal
10006,2025-08-02,1071,Sud,Smartphone,Electronique,864.59,1,864.59,PayPal
10007,2025-08-02,1028,Sud,Casque audio,Accessoires,142.52,1,142.52,PayPal
10008,2025-08-03,1028,Sud,Souris sans fil,Accessoires,16.76,2,33.52,CB
10009,2025-08-03,1089,Centre,Ecran 27 pouces,Electronique,498.99,1,498.99,CB
10010,2025-08-04,1157,Centre,Ecran 27 pouces,Electronique,483.33,1,483.33,PayPal
10011,2025-08-04,1103,Nord,Webcam HD,Accessoires,107.25,1,107.25,CB
10012,2025-08-04,1014,Centre,Webcam HD,Accessoires,93.47,1,93.47,CB
10013,2025-08-04,1084,Centre,Clavier mecanique,Accessoires,87.02,2,174.04,PayPal
10014,2025-08-06,1001,Sud,Disque dur externe,Accessoires,89.83,1,89.83,Virement
10015,2025-08-07,1200,Nord,Casque audio,Accessoires,297.96,2,595.92,CB
10016,2025-08-07,1117,Nord,Tablette,Electronique,442.36,3,1327.08,CB
10017,2025-08-07,1087,Sud,Smartphone,Electronique,1198.86,1,1198.86,PayPal
10018,2025-08-07,1107,Est,Webcam HD,Accessoires,56.07,5,280.35,PayPal
10019,2025-08-07,1223,Centre,Enceinte bluetooth,Accessoires,161.84,1,161.84,CB
10020,2025-08-07,1108,Sud,Smartphone,Electronique,637.2,2,1274.4,CB
10021,2025-08-08,1224,Sud,Disque dur externe,Accessoires,60.17,1,60.17,CB
10022,2025-08-08,1055,Centre,Ordinateur portable,Electronique,1313.32,4,5253.28,Virement
10023,2025-08-09,1243,Centre,Tablette,Electronique,275.04,1,275.04,CB
10024,2025-08-09,1097,Centre,Tablette,Electronique,408.03,2,816.06,Virement
10025,2025-08-09,1200,Centre,Disque dur externe,Accessoires,53.52,3,160.56,CB
10026,2025-08-10,1173,Sud,Casque audio,Accessoires,92.89,2,185.78,Virement
10027,2025-08-10,1229,Centre,Webcam HD,Accessoires,33.75,1,33.75,CB
10028,2025-08-10,1171,Centre,Clavier mecanique,Accessoires,75.38,1,75.38,CB
10029,2025-08-11,1071,Centre,Smartphone,Electronique,612.75,1,612.75,CB
10030,2025-08-11,1194,Sud,Licence antivirus,Logiciels,19.89,3,59.67,PayPal
10031,2025-08-12,1218,Centre,Souris sans fil,Accessoires,38.68,1,38.68,PayPal
10032,2025-08-12,1192,Sud,Smartphone,Electronique,944.65,1,944.65,CB
10033,2025-08-12,1151,Sud,Casque audio,Accessoires,44.48,1,44.48,CB
10034,2025-08-13,1101,Nord,Ecran 27 pouces,Electronique,573.25,2,1146.5,CB
10035,2025-08-13,1212,Nord,Disque dur externe,Accessoires,201.44,1,201.44,PayPal
10036,2025-08-13,1155,Est,Smartphone,Electronique,259.89,2,519.78,PayPal
10037,2025-08-14,1064,Ouest,Souris sans fil,Accessoires,51.93,1,51.93,Virement
10038,2025-08-14,1033,Centre,Casque audio,Accessoires,56.2,1,56.2,CB
10039,2025-08-15,1226,Centre,Souris sans fil,Accessoires,55.62,1,55.62,CB
10040,2025-08-15,1120,Sud,Clavier mecanique,Accessoires,99.2,1,99.2,CB
10041,2025-08-15,1130,Ouest,Suite bureautique,Logiciels,233.4,1,233.4,CB
10042,2025-08-15,1138,Nord,Tablette,Electronique,150.0,1,150.0,Virement
10043,2025-08-16,1210,Est,Disque dur externe,Accessoires,138.94,1,138.94,CB
10044,2025-08-16,1210,Est,Clavier mecanique,Accessoires,116.23,5,581.15,CB
10045,2025-08-17,1089,Est,Ordinateur portable,Electronique,1021.03,2,2042.06,CB
10046,2025-08-17,1027,Nord,Disque dur externe,Accessoires,130.55,1,130.55,Virement
10047,2025-08-17,1242,Ouest,Licence antivirus,Logiciels,20.87,2,41.74,PayPal
10048,2025-08-18,1080,Est,Webcam HD,Accessoires,69.68,1,69.68,CB
10049,2025-08-18,1077,Ouest,Tablette,Electronique,154.14,1,154.14,PayPal
10050,2025-08-19,1166,Sud,Webcam HD,Accessoires,25.29,1,25.29,CB
10051,2025-08-19,1048,Sud,Souris sans fil,Accessoires,24.38,1,24.38,PayPal
10052,2025-08-20,1249,Ouest,Tablette,Electronique,447.87,3,1343.61,PayPal
10053,2025-08-20,1159,Sud,Licence antivirus,Logiciels,24.86,2,49.72,CB
10054,2025-08-21,1000,Sud,Clavier mecanique,Accessoires,74.37,2,148.74,CB
10055,2025-08-21,1246,Ouest,Webcam HD,Accessoires,30.86,1,30.86,Virement
10056,2025-08-21,1249,Sud,Smartphone,Electronique,250.64,1,250.64,PayPal
10057,2025-08-21,1016,Nord,Smartphone,Electronique,778.6,1,778.6,CB
10058,2025-08-21,1158,Ouest,Souris sans fil,Accessoires,30.99,1,30.99,CB
10059,2025-08-22,1238,Nord,Smartphone,Electronique,254.29,1,254.29,PayPal
10060,2025-08-23,1232,Ouest,Ordinateur portable,Electronique,1507.29,1,1507.29,CB
10061,2025-08-23,1142,Nord,Tablette,Electronique,250.05,1,250.05,CB
10062,2025-08-24,1057,Sud,Ecran 27 pouces,Electronique,220.04,1,220.04,CB
10063,2025-08-24,1088,Sud,Enceinte bluetooth,Accessoires,92.04,5,460.2,CB
10064,2025-08-24,1057,Sud,Ecran 27 pouces,Electronique,178.35,1,178.35,CB
10065,2025-08-24,1049,Sud,Enceinte bluetooth,Accessoires,151.25,1,151.25,CB
10066,2025-08-25,1036,Nord,Licence antivirus,Logiciels,15.05,5,75.25,CB
10067,2025-08-25,1076,Sud,Tablette,Electronique,164.02,1,164.02,PayPal
10068,2025-08-25,1163,Nord,Ecran 27 pouces,Electronique,222.82,1,222.82,CB
10069,2025-08-25,1003,Nord,Clavier mecanique,Accessoires,58.05,1,58.05,CB
10070,2025-08-26,1065,Ouest,Casque audio,Accessoires,146.53,1,146.53,PayPal
10071,2025-08-26,1200,Ouest,Ordinateur portable,Electronique,503.11,2,1006.22,CB
10072,2025-08-26,1220,Centre,Suite bureautique,Logiciels,214.28,1,214.28,CB
10073,2025-08-27,1086,Ouest,Ordinateur portable,Electronique,1566.01,1,1566.01,PayPal
10074,2025-08-27,1126,Nord,Suite bureautique,Logiciels,189.86,3,569.58,CB
10075,2025-08-28,1036,Est,Suite bureautique,Logiciels,235.1,1,235.1,PayPal
10076,2025-08-28,1060,Nord,Casque audio,Accessoires,67.08,1,67.08,CB
10077,2025-08-28,1008,Sud,Ecran 27 pouces,Electronique,585.45,3,1756.35,PayPal
10078,2025-08-29,1050,Nord,Ordinateur portable,Electronique,949.04,3,2847.12,CB
10079,2025-08-30,1211,Sud,Ordinateur portable,Electronique,1771.51,1,1771.51,CB
10080,2025-08-30,1168,Ouest,Clavier mecanique,Accessoires,61.59,1,61.59,CB
10081,2025-08-30,1231,Est,Ordinateur portable,Electronique,1571.37,3,4714.11,PayPal
10082,2025-08-31,1221,Sud,Webcam HD,Accessoires,90.02,2,180.04,CB
10083,2025-08-31,1023,Ouest,Smartphone,Electronique,881.24,2,1762.48,PayPal
10084,2025-08-31,1091,Nord,Ordinateur portable,Electronique,1360.55,1,1360.55,PayPal
10085,2025-08-31,1224,Centre,Tablette,Electronique,308.05,2,616.1,PayPal
10086,2025-09-01,1035,Centre,Tablette,Electronique,525.02,2,1050.04,CB
10087,2025-09-01,1016,Ouest,Smartphone,Electronique,579.57,1,579.57,PayPal
10088,2025-09-01,1181,Ouest,Souris sans fil,Accessoires,46.32,1,46.32,CB
10089,2025-09-02,1217,Ouest,Smartphone,Electronique,560.95,2,1121.9,PayPal
10090,2025-09-02,1232,Sud,Casque audio,Accessoires,301.36,1,301.36,CB
10091,2025-09-03,1013,Sud,Enceinte bluetooth,Accessoires,39.89,2,79.78,CB
10092,2025-09-03,1012,Est,Clavier mecanique,Accessoires,170.66,2,341.32,CB
10093,2025-09-04,1129,Ouest,Clavier mecanique,Accessoires,156.87,1,156.87,Virement
10094,2025-09-05,1125,Sud,Ordinateur portable,Electronique,1717.1,2,3434.2,CB
10095,2025-09-05,1070,Sud,Disque dur externe,Accessoires,99.08,1,99.08,CB
10096,2025-09-05,1097,Sud,Disque dur externe,Accessoires,191.41,4,765.64,CB
10097,2025-09-05,1193,Sud,Enceinte bluetooth,Accessoires,98.57,2,197.14,PayPal
10098,2025-09-06,1121,Ouest,Casque audio,Accessoires,314.93,1,314.93,CB
10099,2025-09-07,1224,Est,Souris sans fil,Accessoires,32.16,1,32.16,Virement
10100,2025-09-07,1030,Centre,Casque audio,Accessoires,329.69,2,659.38,CB
