touch_id,campaign_id,client_id,touch_date,touch_type
TCH0000001,CMP0001,CL00349,2024-12-21,lead
TCH0000002,CMP0001,CL00318,2024-10-22,impression
TCH0000003,CMP0001,CL00463,2024-10-18,impression
TCH0000004,CMP0001,CL00434,2024-10-12,impression
TCH0000005,CMP0001,CL00072,2024-11-21,impression
TCH0000006,CMP0001,CL00485,2024-10-01,click
TCH0000007,CMP0001,CL00043,2024-11-22,click
TCH0000008,CMP0001,CL00147,2024-10-27,lead
TCH0000009,CMP0001,CL00489,2024-11-27,click
TCH0000010,CMP0001,CL00305,2024-10-18,lead
TCH0000011,CMP0001,CL00313,2024-08-30,conversion
TCH0000012,CMP0001,CL00151,2024-10-26,impression
TCH0000013,CMP0001,CL00249,2024-11-21,click
TCH0000014,CMP0001,CL00336,2024-10-25,click
TCH0000015,CMP0001,CL00142,2024-08-30,impression
TCH0000016,CMP0001,CL00219,2024-10-11,impression
TCH0000017,CMP0001,CL00193,2024-12-02,click
TCH0000018,CMP0001,CL00469,2024-10-14,click
TCH0000019,CMP0001,CL00478,2024-08-31,click
TCH0000020,CMP0001,CL00315,2024-09-11,lead
TCH0000021,CMP0001,CL00052,2024-10-18,lead
TCH0000022,CMP0001,CL00049,2024-09-07,lead
TCH0000023,CMP0001,CL00015,2024-12-15,click
TCH0000024,CMP0001,CL00115,2024-09-10,click
TCH0000025,CMP0001,CL00023,2024-10-18,impression
TCH0000026,CMP0001,CL00071,2024-11-03,lead
TCH0000027,CMP0001,CL00185,2024-09-18,click
TCH0000028,CMP0001,CL00464,2024-09-24,click
TCH0000029,CMP0001,CL00001,2024-12-11,lead
TCH0000030,CMP0001,CL00391,2024-11-19,impression
TCH0000031,CMP0001,CL00139,2024-09-07,click
TCH0000032,CMP0001,CL00035,2024-10-07,click
TCH0000033,CMP0001,CL00426,2024-10-10,lead
TCH0000034,CMP0001,CL00098,2024-10-25,conversion
TCH0000035,CMP0001,CL00174,2024-10-09,impression
TCH0000036,CMP0001,CL00428,2024-11-25,conversion
TCH0000037,CMP0001,CL00230,2024-10-31,click
TCH0000038,CMP0001,CL00060,2024-09-12,lead
TCH0000039,CMP0001,CL00450,2024-09-15,lead
TCH0000040,CMP0001,CL00385,2024-10-14,impression
TCH0000041,CMP0001,CL00103,2024-11-25,click
TCH0000042,CMP0001,CL00146,2024-11-08,impression
TCH0000043,CMP0001,CL00149,2024-09-09,impression
TCH0000044,CMP0001,CL00200,2024-11-07,impression
TCH0000045,CMP0001,CL00177,2024-10-19,lead
TCH0000046,CMP0001,CL00032,2024-10-29,impression
TCH0000047,CMP0001,CL00041,2024-12-08,impression
TCH0000048,CMP0001,CL00097,2024-11-03,click
TCH0000049,CMP0001,CL00112,2024-10-13,impression
TCH0000050,CMP0001,CL00073,2024-11-05,impression
TCH0000051,CMP0001,CL00040,2024-10-29,click
TCH0000052,CMP0001,CL00092,2024-10-30,lead
TCH0000053,CMP0001,CL00412,2024-08-30,impression
TCH0000054,CMP0001,CL00255,2024-11-11,impression
TCH0000055,CMP0001,CL00163,2024-12-05,click
TCH0000056,CMP0001,CL00367,2024-12-03,impression
TCH0000057,CMP0001,CL00268,2024-12-13,impression
TCH0000058,CMP0001,CL00093,2024-10-14,impression
TCH0000059,CMP0001,CL00007,2024-11-13,click
TCH0000060,CMP0001,CL00221,2024-11-15,click
TCH0000061,CMP0001,CL00058,2024-11-27,impression
TCH0000062,CMP0001,CL00317,2024-10-18,click
TCH0000063,CMP0001,CL00096,2024-12-14,impression
TCH0000064,CMP0001,CL00337,2024-09-29,impression
TCH0000065,CMP0001,CL00297,2024-10-09,impression
TCH0000066,CMP0001,CL00289,2024-10-15,click
TCH0000067,CMP0001,CL00462,2024-09-29,impression
TCH0000068,CMP0001,CL00159,2024-11-16,impression
TCH0000069,CMP0001,CL00496,2024-10-27,click
TCH0000070,CMP0001,CL00005,2024-11-16,click
TCH0000071,CMP0001,CL00026,2024-09-07,lead
TCH0000072,CMP0001,CL00180,2024-11-08,conversion
TCH0000073,CMP0001,CL00133,2024-10-22,click
TCH0000074,CMP0001,CL00211,2024-12-15,conversion
TCH0000075,CMP0001,CL00083,2024-09-28,click
TCH0000076,CMP0001,CL00299,2024-10-01,click
TCH0000077,CMP0001,CL00105,2024-12-22,impression
TCH0000078,CMP0001,CL00209,2024-09-09,click
TCH0000079,CMP0001,CL00420,2024-10-26,click
TCH0000080,CMP0001,CL00284,2024-10-23,impression
TCH0000081,CMP0001,CL00116,2024-11-06,lead
TCH0000082,CMP0001,CL00298,2024-12-20,impression
TCH0000083,CMP0001,CL00446,2024-08-27,click
TCH0000084,CMP0001,CL00278,2024-09-08,lead
TCH0000085,CMP0001,CL00295,2024-11-28,conversion
TCH0000086,CMP0001,CL00467,2024-10-13,impression
TCH0000087,CMP0001,CL00449,2024-10-31,click
TCH0000088,CMP0001,CL00288,2024-08-26,impression
TCH0000089,CMP0001,CL00095,2024-09-27,lead
TCH0000090,CMP0001,CL00376,2024-09-30,click
TCH0000091,CMP0001,CL00406,2024-10-02,impression
TCH0000092,CMP0001,CL00024,2024-11-15,impression
TCH0000093,CMP0001,CL00086,2024-11-19,click
TCH0000094,CMP0001,CL00393,2024-08-28,impression
TCH0000095,CMP0001,CL00010,2024-10-03,impression
TCH0000096,CMP0001,CL00028,2024-11-13,conversion
TCH0000097,CMP0001,CL00168,2024-11-28,click
TCH0000098,CMP0001,CL00444,2024-10-21,click
TCH0000099,CMP0001,CL00437,2024-12-10,click
