transaction_id,date,type,category,amount_eur,client_id,sale_id,payment_status,invoice_number
FIN0006121,2024-01-04,Expense,Bureaux & équipement,2249.36,,,Paid,DEP-006121
FIN0006129,2024-01-05,Expense,OpenAI / LLM API,782.3,,,Paid,DEP-006129
FIN0006117,2024-01-05,Expense,Infrastructure Cloud,913.65,,,Paid,DEP-006117
FIN0006114,2024-01-08,Expense,Marketing & Publicité,5459.4,,,Paid,DEP-006114
FIN0006115,2024-01-09,Expense,Marketing & Publicité,5459.4,,,Paid,DEP-006115
FIN0006123,2024-01-09,Expense,Frais juridiques & conseil,746.52,,,Paid,DEP-006123
FIN0000002,2024-01-10,Revenue,Subscription Revenue,629.65,CL00306,SAL003647,Paid,FAC-000002
FIN0006127,2024-01-11,Expense,Déplacements & événements,639.49,,,Paid,DEP-006127
FIN0006124,2024-01-12,Expense,Déplacements & événements,639.49,,,Paid,DEP-006124
FIN0006122,2024-01-13,Expense,Bureaux & équipement,2249.36,,,Paid,DEP-006122
FIN0006126,2024-01-14,Expense,Déplacements & événements,639.49,,,Paid,DEP-006126
FIN0006128,2024-01-14,Expense,OpenAI / LLM API,782.3,,,Paid,DEP-006128
FIN0000003,2024-01-17,Revenue,Subscription Revenue,1376.98,CL00387,SAL004702,Paid,FAC-000003
FIN0006113,2024-01-17,Expense,Salaires & charges,78063.11,,,Paid,DEP-006113
FIN0006125,2024-01-21,Expense,Déplacements & événements,639.49,,,Paid,DEP-006125
FIN0006116,2024-01-22,Expense,Infrastructure Cloud,913.65,,,Paid,DEP-006116
FIN0006119,2024-01-24,Expense,Infrastructure Cloud,913.65,,,Paid,DEP-006119
FIN0006120,2024-01-24,Expense,Outils SaaS internes,1922.26,,,Paid,DEP-006120
FIN0006118,2024-01-25,Expense,Infrastructure Cloud,913.65,,,Paid,DEP-006118
FIN0006131,2024-02-02,Expense,Marketing & Publicité,10912.16,,,Paid,DEP-006131
FIN0006133,2024-02-03,Expense,Infrastructure Cloud,3777.12,,,Paid,DEP-006133
FIN0006130,2024-02-04,Expense,Salaires & charges,55179.66,,,Paid,DEP-006130
FIN0006134,2024-02-04,Expense,Outils SaaS internes,360.33,,,Paid,DEP-006134
FIN0006135,2024-02-04,Expense,Outils SaaS internes,360.33,,,Paid,DEP-006135
