sale_id,client_id,sale_date,product,product_category,gross_amount_eur,discount_eur,net_amount_eur,deal_stage,sales_cycle_days,sales_rep
SAL001898,CL00162,2024-01-07,Lex Subscription,subscription,1551.04,0.0,1551.04,Won,71,Marie D.
SAL003647,CL00306,2024-01-10,Ledger Subscription,subscription,662.79,33.14,629.65,Won,82,Yanis F.
SAL004702,CL00387,2024-01-17,Ledger Subscription,subscription,1376.98,0.0,1376.98,Won,48,Amine B.
SAL004276,CL00355,2024-01-17,Ledger Subscription,subscription,510.52,25.53,484.99,Won,117,Marie D.
SAL004666,CL00386,2024-01-22,Premium Support,subscription,500.49,0.0,500.49,Won,13,Yanis F.
SAL003114,CL00262,2024-01-23,Premium Support,subscription,431.76,86.35,345.41,Won,47,Yanis F.
SAL004674,CL00386,2024-01-26,Ledger Subscription,subscription,416.04,0.0,416.04,Won,28,Yanis F.
SAL000586,CL00057,2024-01-30,Vector Subscription,subscription,907.06,45.35,861.71,Won,53,Marie D.
SAL003862,CL00330,2024-01-31,Custom Development,one_time,18927.41,0.0,18927.41,Won,34,Léa M.
SAL006095,CL00498,2024-01-31,Premium Support,subscription,498.7,24.94,473.76,Won,49,Léa M.
SAL002283,CL00199,2024-01-31,Core Premium,subscription,1876.35,93.82,1782.53,Won,76,Yanis F.
SAL003961,CL00334,2024-02-02,Vector Subscription,subscription,912.03,45.6,866.43,Won,71,Karim T.
SAL004314,CL00355,2024-02-02,Premium Support,subscription,477.53,0.0,477.53,Won,109,Marie D.
SAL001597,CL00131,2024-02-05,Vector Subscription,subscription,1477.32,73.87,1403.45,Won,60,Marie D.
SAL006006,CL00494,2024-02-06,Core Premium,subscription,2722.84,0.0,2722.84,Won,69,Amine B.
SAL004660,CL00386,2024-02-09,Core Premium,subscription,3280.54,0.0,3280.54,Won,7,Yanis F.
SAL003611,CL00302,2024-02-10,Vector Subscription,subscription,1584.84,0.0,1584.84,Won,24,Karim T.
SAL004774,CL00397,2024-02-11,Custom Development,one_time,9788.41,1957.68,7830.73,Won,49,Yanis F.
SAL000096,CL00011,2024-02-12,Premium Support,subscription,246.64,0.0,246.64,Won,23,Karim T.
SAL004291,CL00355,2024-02-12,Lex Subscription,subscription,652.01,97.8,554.21,Won,96,Marie D.
SAL001419,CL00121,2024-02-14,Core Premium,subscription,4542.8,454.28,4088.52,Won,90,Amine B.
SAL003897,CL00330,2024-02-15,Ledger Subscription,subscription,1098.77,109.88,988.89,Won,24,Léa M.
SAL000113,CL00011,2024-02-15,Training & Onboarding,one_time,3027.42,0.0,3027.42,Won,33,Karim T.
SAL002298,CL00199,2024-02-16,Core Premium,subscription,4875.75,487.58,4388.17,Won,49,Yanis F.
SAL000002,CL00002,2024-02-18,Core Premium,subscription,1944.96,291.74,1653.22,Won,67,Marie D.
SAL005995,CL00491,2024-02-19,Lex Subscription,subscription,1648.78,0.0,1648.78,Won,40,Amine B.
SAL000606,CL00057,2024-02-19,Premium Support,subscription,308.85,46.33,262.52,Won,32,Marie D.
SAL004299,CL00355,2024-02-19,Core Premium,subscription,3077.18,461.58,2615.6,Won,120,Marie D.
SAL004778,CL00397,2024-02-21,Training & Onboarding,one_time,1357.24,67.86,1289.38,Won,16,Yanis F.
SAL002200,CL00190,2024-02-22,Vector Subscription,subscription,1333.04,66.65,1266.39,Won,41,Marie D.
SAL001411,CL00121,2024-02-23,Ledger Subscription,subscription,765.26,38.26,727.0,Won,77,Amine B.
SAL003790,CL00322,2024-02-23,Lex Subscription,subscription,995.91,0.0,995.91,Won,8,Sophie L.
SAL003905,CL00330,2024-02-24,Training & Onboarding,one_time,1910.18,191.02,1719.16,Won,72,Léa M.
SAL001684,CL00136,2024-02-24,Premium Support,subscription,808.61,40.43,768.18,Won,11,Karim T.
SAL004751,CL00395,2024-02-26,Ledger Subscription,subscription,1105.76,0.0,1105.76,Won,23,Karim T.
SAL002198,CL00190,2024-02-29,Vector Subscription,subscription,1258.99,0.0,1258.99,Won,82,Marie D.
SAL001694,CL00136,2024-03-05,Vector Subscription,subscription,1753.89,0.0,1753.89,Won,34,Karim T.
SAL003861,CL00330,2024-03-07,Vector Subscription,subscription,2005.08,100.25,1904.83,Won,26,Léa M.
SAL003594,CL00302,2024-03-08,Custom Development,one_time,32547.86,0.0,32547.86,Won,29,Karim T.
SAL000500,CL00053,2024-03-08,Premium Support,subscription,576.57,0.0,576.57,Won,58,Amine B.
SAL000266,CL00027,2024-03-09,Custom Development,one_time,27275.14,0.0,27275.14,Won,58,Amine B.
SAL002815,CL00241,2024-03-10,Vector Subscription,subscription,772.2,0.0,772.2,Won,76,Amine B.
SAL000112,CL00011,2024-03-10,Premium Support,subscription,371.42,0.0,371.42,Won,13,Karim T.
SAL002524,CL00220,2024-03-10,Lex Subscription,subscription,748.96,37.45,711.51,Won,36,Amine B.
SAL004323,CL00355,2024-03-10,Vector Subscription,subscription,1274.15,63.71,1210.44,Won,74,Marie D.
SAL006016,CL00494,2024-03-10,Lex Subscription,subscription,524.01,0.0,524.01,Won,11,Amine B.
SAL001682,CL00136,2024-03-11,Premium Support,subscription,425.85,21.29,404.56,Won,11,Karim T.
SAL003602,CL00302,2024-03-11,Vector Subscription,subscription,1842.74,184.27,1658.47,Won,35,Karim T.
